subject,acc,n,ci_lo,ci_hi,train_acc
1,0.6444444444444445,45,0.48780100514814595,0.7813159892644141,0.9977011494252873
2,0.5777777777777777,45,0.42150328448812835,0.7234329717538803,0.9977011494252873
3,0.5111111111111111,45,0.35774038567003036,0.6629662516072066,0.9977011494252873
4,0.5777777777777777,45,0.42150328448812835,0.7234329717538803,0.9969348659003832
5,0.4,45,0.25697589519263137,0.5566864875209978,0.9977011494252873
6,0.4666666666666667,45,0.3166008229974236,0.6212799839125356,0.9977011494252873
7,0.5555555555555556,45,0.3999734964036788,0.7035560761341417,0.9977011494252873
8,0.6444444444444445,45,0.48780100514814595,0.7813159892644141,0.9984674329501916
9,0.6,45,0.4433135124790022,0.7430241048073687,0.9984674329501916
10,0.5777777777777777,45,0.42150328448812835,0.7234329717538803,0.9984674329501916
11,0.4444444444444444,45,0.2964439238658582,0.6000265035963211,0.9992337164750957
12,0.4666666666666667,45,0.3166008229974236,0.6212799839125356,0.9977011494252873
13,0.6888888888888889,45,0.533508970087884,0.8183411960662779,0.9984674329501916
14,0.5111111111111111,45,0.35774038567003036,0.6629662516072066,0.9977011494252873
15,0.5777777777777777,45,0.42150328448812835,0.7234329717538803,0.9977011494252873
16,0.5111111111111111,45,0.35774038567003036,0.6629662516072066,0.9984674329501916
17,0.4,45,0.25697589519263137,0.5566864875209978,0.9984674329501916
18,0.4888888888888889,45,0.3370337483927935,0.6422596143299697,0.9977011494252873
19,0.6666666666666666,45,0.5104963621416386,0.799994311989305,0.9977011494252873
20,0.4666666666666667,45,0.3166008229974236,0.6212799839125356,0.9977011494252873
21,0.5777777777777777,45,0.42150328448812835,0.7234329717538803,0.9984674329501916
22,0.5777777777777777,45,0.42150328448812835,0.7234329717538803,0.9984674329501916
23,0.7333333333333333,45,0.5805532952579822,0.8539592841618702,0.9984674329501916
24,0.5111111111111111,45,0.35774038567003036,0.6629662516072066,0.9992337164750957
25,0.6,45,0.4433135124790022,0.7430241048073687,0.9984674329501916
26,0.6888888888888889,45,0.533508970087884,0.8183411960662779,0.9977011494252873
27,0.4888888888888889,45,0.3370337483927935,0.6422596143299697,0.9977011494252873
28,0.5333333333333333,45,0.37872001608746436,0.6833991770025765,0.9984674329501916
29,0.6444444444444445,45,0.48780100514814595,0.7813159892644141,0.9977011494252873
30,0.5555555555555556,45,0.3999734964036788,0.7035560761341417,0.9984674329501916
